day,hour,value
1,00,0
1,01,1
1,02,0
1,03,0
1,04,0
1,05,0
1,06,2
1,07,27
1,08,69
1,09,52
1,10,36
1,11,53
1,12,69
1,13,42
1,14,31
1,15,68
1,16,76
1,17,49
1,18,41
1,19,17
1,20,28
1,21,9
1,22,47
1,23,5
2,00,9
2,01,0
2,02,2
2,03,0
2,04,0
2,05,0
2,06,7
2,07,49
2,08,38
2,09,57
2,10,39
2,11,70
2,12,24
2,13,41
2,14,55
2,15,59
2,16,99
2,17,126
2,18,44
2,19,18
2,20,8
2,21,26
2,22,9
2,23,0
3,00,0
3,01,0
3,02,0
3,03,0
3,04,0
3,05,0
3,06,6
3,07,37
3,08,67
3,09,34
3,10,55
3,11,48
3,12,60
3,13,31
3,14,57
3,15,73
3,16,72
3,17,190
3,18,17
3,19,12
3,20,4
3,21,6
3,22,8
3,23,2
4,00,0
4,01,0
4,02,0
4,03,0
4,04,1
4,05,2
4,06,18
4,07,41
4,08,83
4,09,40
4,10,111
4,11,68
4,12,59
4,13,84
4,14,75
4,15,81
4,16,85
4,17,64
4,18,68
4,19,18
4,20,4
4,21,11
4,22,5
4,23,3
5,00,1
5,01,0
5,02,0
5,03,0
5,04,0
5,05,0
5,06,4
5,07,29
5,08,63
5,09,70
5,10,138
5,11,137
5,12,90
5,13,59
5,14,35
5,15,55
5,16,84
5,17,55
5,18,43
5,19,10
5,20,7
5,21,8
5,22,10
5,23,0
6,00,0
6,01,0
6,02,0
6,03,0
6,04,0
6,05,0
6,06,4
6,07,25
6,08,49
6,09,65
6,10,112
6,11,108
6,12,134
6,13,103
6,14,86
6,15,116
6,16,115
6,17,105
6,18,43
6,19,25
6,20,7
6,21,11
6,22,1
6,23,2
7,00,1
7,01,0
7,02,1
7,03,0
7,04,0
7,05,0
7,06,0
7,07,29
7,08,82
7,09,51
7,10,123
7,11,183
7,12,82
7,13,95
7,14,110
7,15,142
7,16,112
7,17,189
7,18,68
7,19,20
7,20,12
7,21,5
7,22,3
7,23,3
