Global rank,Global rank preyear,Company,Country,Sector,Market value $m,Turnover $m,Net income $m,Total assets $m,Employees,Price $,P/e ratio,Dividend yield (%),Year End ,Country code,Sector code
1,1,Apple,US,Technology hardware & equipment,724773.1,182795,39510,231839,92600,124.4,19.3,1.5,9/27/2014,0,0
2,2,Exxon Mobil,US,Oil & gas producers,356548.7,364763,32520,349493,75300,85,11.2,3.2,12/31/2014,0,1
3,5,Berkshire Hathaway,US,Nonlife insurance,356510.7,N/R,19872,526186,316000,217500,18,,12/31/2014,0,2
4,4,Google,US,Software & computer services,345849.2,66001,14444,131133,53600,554.7,26.4,,12/31/2014,0,3
5,3,Microsoft,US,Software & computer services,333524.8,86833,22074,172384,128000,40.7,15.5,2.8,6/30/2014,0,3
6,16,PetroChina,China,Oil & gas producers,329715.1,367853.7,17268.6,385177.7,534652,1.1,12.3,3.6,12/31/2014,1,1
7,7,Wells Fargo,US,Banks,279919.7,N/R,23057,1687155,264500,54.4,13.3,2.5,12/31/2014,0,4
8,6,Johnson & Johnson,US,Pharmaceuticals & biotechnology,279723.9,74331,16323,127723,126500,100.6,17.6,2.7,12/28/2014,0,5
9,21,Industrial & Commercial Bank of China,China,Banks,275389.1,N/R,44441.4,3316892.5,462282,0.7,5.7,5.4,12/31/2014,1,4
10,14,Novartis,Switzerland,Pharmaceuticals & biotechnology,267897,49550.7,9432.7,117393.4,133413,99,25.4,2.6,12/31/2014,2,5
11,25,China Mobile,Hong Kong,Mobile telecommunications,267252.3,103977,17713.8,205592.5,241550,13.1,15,2.9,12/31/2014,3,6
12,10,Wal-Mart Stores,US,General retailers,265107.3,485651,16363,203706,2200000,82.3,16.3,2.3,1/31/2015,0,7
13,8,General Electric,US,General industrials,249774.4,148589,15212,645808,305000,24.8,16.5,3.6,12/31/2014,0,8
14,11,Nestle,Switzerland,Food producers,243701.8,92165.3,14543.3,132185.6,339000,75.6,16.6,2.9,12/31/2014,2,9
15,23,Toyota Motor,Japan,Automobiles & parts,238924.8,248954.6,17666,400235.1,338875,69.9,12.5,2.3,3/31/2014,4,10
16,9,Roche,Switzerland,Pharmaceuticals & biotechnology,237747.6,47748.7,9388.4,73251.8,88509,276,25,2.9,12/31/2014,2,5
17,13,JP Morgan Chase,US,Banks,225861.1,N/R,21218,2573126,241359,60.6,11.5,2.6,12/31/2014,0,4
18,17,Procter & Gamble,US,Household goods & home construction,221279.6,83062,11643,144266,118000,81.9,20.9,3,6/30/2014,0,11
19,18,Samsung Electronics,South Korea,Leisure goods,214039.7,188475.9,21097.4,206469.3,99927,1298.8,9.3,1.4,12/31/2014,5,12
20,19,Pfizer,US,Pharmaceuticals & biotechnology,213621.9,49605,9134,167730,78300,34.8,24.7,3,12/31/2014,0,5
21,29,China Construction Bank,China,Banks,209139.8,N/R,36710.3,2691627.3,493583,0.8,5.5,6,12/31/2014,1,4
22,22,Verizon Communications,US,Fixed line telecommunications,198035.3,127079,9625,232708,177300,48.6,20.1,4.4,12/31/2014,0,13
23,15,Chevron,US,Oil & gas producers,197381.3,191755,19241,262429,64700,105,10.4,4,12/31/2014,0,1
