date,value
2016-09-30,2645689
2014-03-11,2368196
2017-03-26,64920
2015-11-02,240357
2015-01-20,459406
2012-12-02,99032
2013-02-03,114218
2011-08-06,8468764
2012-01-26,42774
2012-10-07,98601
2012-11-08,11415580
2015-05-26,12264552
2015-02-19,94919
2013-11-10,26643
2017-04-14,600484
2015-09-22,124281
2016-06-08,488500
2010-07-09,46507
2014-03-11,1971955
2016-12-27,179436
2012-06-10,42309
2012-08-20,34299
2012-05-21,102275
2014-01-05,3281133
2013-09-17,51687
2010-10-25,135602
2011-09-28,118636
2012-07-19,779523
2011-09-28,25670
2015-05-29,210203
2017-03-10,184126
2015-01-15,38318
2011-08-07,1124986
2015-03-26,89970
2017-01-29,46375
2014-02-13,405852
2014-11-25,75579
2011-01-16,111068
2011-02-02,1063101
2016-12-18,174320
2014-10-24,177904
2016-07-28,18098368
2016-03-18,303206
2011-06-10,2229842
2015-10-26,56184
2011-11-04,155459
2015-11-16,247431
2015-04-17,9005104
2015-08-14,203112
2011-06-01,1100902
2013-11-03,32500
2012-10-01,2294425
2016-09-18,128852
2012-11-18,63214
2016-12-28,1583140
2017-04-12,2504963
2015-10-19,119236
2013-09-19,14768292
2012-02-10,1084749
2016-05-12,2614637
2014-08-15,91425
2015-01-02,165694
2015-05-14,18661533
2015-05-03,708595
2012-12-24,402086
2015-06-08,206145
2015-07-07,45643
2012-02-05,3594158
2012-06-02,218781
2012-02-21,1000307
2017-03-31,718131
2015-05-08,48814
2011-07-28,268432
2010-06-28,720231
2011-10-16,80598
2016-05-06,75462
2013-09-03,455307
2012-02-03,83282
2016-05-30,414074
2013-08-01,65761
2013-04-19,44148
2015-10-04,25155
2015-04-20,2237822
2015-02-20,7042552
2010-09-14,238163
2016-05-22,171077
2016-08-05,29996
2011-12-23,1413869
2013-02-27,69913
2016-07-20,237217
2010-06-30,75189
2015-06-16,7224173
2016-04-30,51196
2014-05-01,583380
2014-09-12,374417
2014-04-26,203740
2015-08-02,1037781
2014-09-14,28041
2015-07-09,2467019
2015-06-12,843951
2016-09-02,1413984
2012-01-05,128139
2014-02-23,43664
2011-10-15,74179
2015-02-01,125826
2013-09-12,111830
2016-10-20,91663
2014-04-09,71945
2014-05-23,397989
2016-10-23,435898
2016-02-19,1322461
2012-10-04,7350885
2016-02-09,62549
2012-06-28,29742
2012-08-19,129529
2015-04-01,35271
