left,right,count
58187782,d48d76de,4
58187782,19684fff,2
8009504c,8c570a09,2
3863dfd9,e1dbcfbb,2
3863dfd9,11a1d72b,2
e3163186,3b5c1b47,2
a898d2cc,9bf06f13,5
9bf06f13,e1dbcfbb,2
9bf06f13,11a1d72b,3
25b707d0,6c940c4e,3
1e65df72,3b5c1b47,2
7613ddd3,03e9ebc0,2
19684fff,d48d76de,15
19684fff,03e9ebc0,2
9424713b,e1dbcfbb,5
3b1f717f,d48d76de,2
3b1f717f,03e9ebc0,3
3b796282,e19e1b88,2
e1dbcfbb,11a1d72b,3
60a8a96f,d48d76de,10
778f3c6d,9bf06f13,3
3164ce01,9bf06f13,2
1985e3d4,9bf06f13,5
03e9ebc0,11a1d72b,2
05521eb7,6c940c4e,2
fc958eee,9bf06f13,6
623d354c,6c940c4e,2
e3163186,3b5c1b47,4
1b7be548,9bf06f13,2
dbbf12a2,9bf06f13,3
c99e454e,6c940c4e,2
5850f863,41ed023b,5
5850f863,3b5c1b47,9
b974b85c,3b5c1b47,2
d135b2d5,3b5c1b47,2
135d607a,8c570a09,3
e19e1b88,03e9ebc0,3
e19e1b88,e19e1b88,2
c8cba7bf,8c570a09,3
c8cba7bf,3b5c1b47,2
bd928995,d48d76de,2
b23a8939,d48d76de,2
b23a8939,19684fff,2
41ed023b,11a1d72b,4
3c3ba44b,41ed023b,2
3c3ba44b,11a1d72b,5
11a1d72b,e1dbcfbb,4
e4bbeb95,41ed023b,4
e4bbeb95,11a1d72b,4
