bundesland,stadt,bhnummer,station,betriebsstelle,kategorie,strasse,plz,port,traeger,abkuerzung,fern,nah,lon,lat
Hessen,Darmstadt,119,Altheim (Hess),FAT,6,Münstererstr. 19,64839,Münster,Rhein-Main-Verkehrsverbund GmbH,RMV,nein,ja,8.89136,49.92272
Hessen,Darmstadt,238,Babenhausen (Hess),FBA,5,Am Bahnhof 1,64832,Babenhausen,Rhein-Main-Verkehrsverbund GmbH,RMV,nein,ja,8.95714,49.95808
Hessen,Darmstadt,3564,Babenhausen Langstadt,FLAS,7,Kleestädter-Str. 75,64832,Babenhausen,Rhein-Main-Verkehrsverbund GmbH,RMV,nein,ja,8.94588,49.92226
Hessen,Darmstadt,292,Bad König,FKI,6,Bahnhofsplatz 1,64732,Bad König,Rhein-Main-Verkehrsverbund GmbH,RMV,nein,ja,9.00186,49.73884
Hessen,Darmstadt,6989,Bad König-Zell,FZK,7,An der alten Schule 5,64732,Bad König,Rhein-Main-Verkehrsverbund GmbH,RMV,nein,ja,8.99413,49.72047
Hessen,Darmstadt,2753,Beerfelden-Hetzbach,FHZ,6,Bahnhofstr. 45,64743,Beerfelden,Rhein-Main-Verkehrsverbund GmbH,RMV,nein,ja,8.9924,49.5948
Hessen,Darmstadt,488,Bensheim,FBH,4,Amershamplatz 1,64625,Bensheim,Verkehrsverbund Rhein-Neckar GmbH,RMV,ja,ja,8.61708,49.68122
Hessen,Darmstadt,489,Bensheim-Auerbach,FBAU,5,Otto-Beck-Str. 32,64625,Bensheim,Verkehrsverbund Rhein-Neckar GmbH,RMV,nein,ja,8.61321,49.70241
Hessen,Darmstadt,614,Biblis,FBL,4,Lindenstr. 2,68647,Biblis,Verkehrsverbund Rhein-Neckar GmbH,RMV,nein,ja,8.45137,49.68909
Hessen,Darmstadt,618,Bickenbach (Bergstr),FBI,5,Bahnhofstr. 77,64404,Bickenbach,Rhein-Main-Verkehrsverbund GmbH,RMV,nein,ja,8.60366,49.75949
Hessen,Darmstadt,619,Biebesheim,FBBM,5,Eisenbahnstr. 8,64585,Biebesheim,Rhein-Main-Verkehrsverbund GmbH,RMV,nein,ja,8.47373,49.78101
Hessen,Darmstadt,721,Bobstadt,FBST,6,Bergstr.45A,68642,Bürstadt,Verkehrsverbund Rhein-Neckar GmbH,RMV,nein,ja,8.45123,49.66327
Hessen,Darmstadt,1002,Bürstadt,FBUP,6,Bahnhofsallee 17,68642,Bürstadt,Verkehrsverbund Rhein-Neckar GmbH,RMV,nein,ja,8.45876,49.64558
